company_name,attack,year_attack,Size_of_Group_Composition,BvD_independent_indicator,Number_of_shareholders,Number_of_effective_beneficiaries_def_10_10,Number_of_effective_beneficiaries_def_10_50,Number_of_effective_beneficiaries_def_25_25,Number_of_leaders,Number_of_current_leaders,Number_of_Previous_Leader,DM_As_any_category,Manager_Gender,Manager_Age,Manager_Age_group,Director_Also_shareholder,Manager_Number_of_companies_in_which_a_function_is_held,diffmoy_Price_earnings_per_share_average,diffmoy_Average_share_return,diffmoy_Capitalization_Equity,diffmoy_Capitalization_Total_balance_sheet_Tobins_Q,diffmoy_Equity_per_share_EUR,diffmoy_Bankruptcy_probability,diffmoy_Debt_coefficient,diffmoy_Solvency,diffmoy_Returns_invested_capital,diffmoy_Returns_net_equity,diffmoy_ROA_from_profit_before_taxes,diffmoy_ROCE_from_net_income1,diffmoy_R&D_expenditure_Operating_income,diffmoy_Performance
ADL PARTNER,0,,18,D,8,2,2,2,25,21,10,Non,H,52,46 - 55,Non,9,-16.98798423,-0.890752252,-0.273606707,-0.818887538,-103.3854276,1.226078799,2.805970149,0.833688699,40.98487368,44.84931974,11.96639098,28.97676012,-2.130997054,2.691909605
ADMEA S.A.,0,,7,D,4,3,3,3,8,5,5,Non,H,55,46 - 55,Oui,7,,,,,,3.226078799,-3.194029851,-2.166311301,,,,,,
ADOCIA,0,,2,B+,22,2,2,1,34,25,10,Oui,H,75,66 - 75,Oui,2,,,6.522393293,3.695112462,-102.5944276,4.226078799,3.805970149,2.833688699,-7.201126316,-12.17668026,-8.208609023,-6.04223988,-2.130997054,-30.4060904
ADOMOS,0,,4,A+,5,0,0,0,9,8,6,Non,H,55,46 - 55,Oui,8,,,,,,0.226078799,3.805970149,-0.166311301,,,,,,
ADTHINK,0,,5,B+,12,4,4,3,24,23,4,Non,H,43,36 - 45,Oui,5,16.79201577,,1.770393293,-0.572887538,-108.3294276,1.226078799,-3.194029851,-4.166311301,19.74487368,29.52931974,6.534390977,13.25176012,-2.130997054,-1.884090395
ADVANCED ACCELERATOR APPLICATIONS S.A.,0,,402,D,4,0,0,0,44,21,29,Non,F,55,46 - 55,Non,4,,,,,,-0.773921201,2.805970149,2.833688699,0.962873684,-2.252680263,-4.265609023,2.19876012,9.995002946,-26.7820904
ADVENIS,0,,12,D,9,1,1,1,22,13,12,Non,H,52,46 - 55,Oui,27,,,-2.345606707,-1.495887538,-106.8484276,3.226078799,,,-28.81612632,-73.31068026,-7.880609023,-27.47323988,-2.130997054,-23.0060904
ADVERLINE S.A.,0,,,D,2,0,0,0,27,12,20,Oui,,53,46 - 55,Non,7,,,,,,,,,,,,,,
ADVICENNE,0,,0,B+,19,0,0,0,27,24,17,Oui,H,59,56 - 65,Non,8,,,,,,5.226078799,-3.194029851,-4.166311301,,,,,,
ADVINI,0,,80,B+,10,8,8,6,51,34,26,Non,H,63,56 - 65,Non,7,-15.33498423,-6.315752252,-1.846606707,-1.224887538,-83.46342759,-1.773921201,-3.194029851,-2.166311301,14.29087368,16.80531974,4.626390977,15.59276012,-2.130997054,-0.564090395
