company_name,attack,year_attack,Size_of_Group_Composition,BvD_independent_indicator,Number_of_shareholders,Number_of_effective_beneficiaries_def_10_10,Number_of_effective_beneficiaries_def_10_50,Number_of_effective_beneficiaries_def_25_25,Number_of_leaders,Number_of_current_leaders,Number_of_Previous_Leader,DM_As_any_category,Manager_Gender,Manager_Age,Manager_Age_group,Director_Also_shareholder,Manager_Number_of_companies_in_which_a_function_is_held,diffmoy_Price_earnings_per_share_average,diffmoy_Average_share_return,diffmoy_Capitalization_Equity,diffmoy_Capitalization_Total_balance_sheet_Tobins_Q,diffmoy_Equity_per_share_EUR,diffmoy_Bankruptcy_probability,diffmoy_Debt_coefficient,diffmoy_Solvency,diffmoy_Returns_invested_capital,diffmoy_Returns_net_equity,diffmoy_ROA_from_profit_before_taxes,diffmoy_ROCE_from_net_income1,diffmoy_R&D_expenditure_Operating_income,diffmoy_Performance
CROSSWOOD,0,,25,D,3,3,2,3,7,6,3,Non,H,52,46 - 55,Oui,17,-18.77398423,,-2.572606707,-1.126887538,-104.1784276,-0.773921201,2.805970149,5.833688699,13.84087368,13.64131974,7.072390977,15.09476012,-2.130997054,77.0639096
CS GROUP,0,,20,B+,22,3,3,3,24,19,9,Non,H,70,66 - 75,Oui,14,,,-1.005606707,-1.267887538,-106.9504276,-0.773921201,-3.194029851,-4.166311301,12.64387368,9.509319737,2.226390977,10.84176012,-2.130997054,-4.109090395
CTA HOLDING,0,,0,B+,5,3,3,2,10,6,8,Non,H,64,56 - 65,Oui,3,,,,,,-1.773921201,3.805970149,2.833688699,,11.52131974,4.812390977,,-2.130997054,21.8119096
CYBERGUN,0,,23,A+,4,2,1,0,41,14,31,Non,H,32,25 - 35,Non,10,,,9.661393293,-1.306887538,179.7195724,5.226078799,-3.194029851,-4.166311301,-85.84612632,,-35.34860902,-88.39023988,-2.130997054,-46.8160904
CYBERNETIX,0,,359,D,1,3,3,3,32,16,21,Non,H,41,36 - 45,Non,2,,,,,,-1.773921201,-0.194029851,-0.166311301,,,,,,
D2L GROUP,0,,26,D,3,2,2,2,21,16,11,Non,H,46,46 - 55,Oui,14,,,,,,-1.773921201,-0.194029851,0.833688699,,,,,,
DALET SA,0,,10,A+,20,2,2,0,11,8,6,Non,H,56,56 - 65,Oui,8,14.72001577,,-0.856606707,-0.738887538,-104.6214276,-0.773921201,-3.194029851,-1.166311301,12.48587368,11.91531974,3.822390977,12.69176012,21.99300295,-2.903090395
DAMARIS,0,,3,B+,3,2,2,2,6,5,1,Non,H,56,56 - 65,Oui,4,,,-1.467606707,-1.123887538,-107.4334276,4.226078799,-3.194029851,-1.166311301,-431.3101263,,,-429.4732399,,
DAMARTEX,0,,29,D,8,2,2,2,31,19,24,Non,H,64,56 - 65,Non,4,-18.09798423,,-2.435606707,-1.219887538,-83.39542759,4.226078799,1.805970149,-1.166311301,15.78187368,15.68431974,6.280390977,16.58876012,-2.130997054,-2.232090395
DANONE,1,2017,445,A+,88,0,0,0,59,34,45,Oui,H,56,56 - 65,Non,146,-3.395984234,-4.899752252,-0.250606707,-0.706887538,-88.72442759,-2.773921201,-3.194029851,-4.166311301,16.22087368,26.04331974,7.699390977,14.91476012,-0.619997054,7.207909605
DASSAULT AVIATION,0,,22,D,26,3,3,1,43,29,19,Oui,H,82,> 75,Non,128,-6.116984234,-6.341752252,-0.603606707,-0.964887538,293.2255724,-1.773921201,2.805970149,-1.166311301,17.94687368,19.82731974,5.040390977,17.52476012,5.781002946,7.571909605
DASSAULT SYSTEMES,0,,167,D,61,3,3,1,66,31,47,Non,H,63,56 - 65,Non,94,13.44501577,-6.813752252,1.566393293,1.085112462,-93.79042759,-2.773921201,-2.194029851,-0.166311301,19.81987368,23.14731974,11.24239098,17.20876012,15.55800295,16.9209096
DATA HERTZ S.A.,0,,3,D,2,2,2,1,9,7,2,Non,H,54,46 - 55,Oui,9,,,,,,,,,,,,,,
DATBIM,0,,0,B+,5,2,2,2,12,8,6,Non,H,55,46 - 55,Oui,2,,,26.16439329,10.23811246,-108.7244276,-0.773921201,-2.194029851,-0.166311301,-57.24512632,-59.33268026,-24.63960902,-33.92623988,-2.130997054,-74.6630904
DAUPHIN-OTA SA,0,,569,D,3,2,0,0,30,11,20,Non,F,48,46 - 55,Non,3,,,,,,-0.773921201,1.805970149,-0.166311301,,,,,,
DBT,0,,6,B+,5,2,2,0,20,11,11,Non,H,66,66 - 75,Non,3,,,4.300393293,-0.520887538,-108.3144276,0.226078799,-3.194029851,-3.166311301,-103.7411263,-285.2336803,-40.16460902,-101.9092399,8.754002946,-67.9200904
DBV TECHNOLOGIES,0,,5,A+,65,5,5,0,39,28,15,Oui,H,69,66 - 75,Non,10,,,3.490393293,4.084112462,-98.98842759,0.226078799,3.805970149,5.833688699,-37.01912632,-41.05068026,-38.12160902,-35.71823988,,
DEBFLEX SA,0,,236,D,1,0,0,0,23,14,14,Non,H,65,56 - 65,Non,4,,,,,,,-1.194029851,-1.166311301,17.37087368,35.20831974,9.259390977,18.67176012,,0.423909605
DEDALUS FRANCE,0,,8,D,1,1,0,1,45,23,32,Oui,H,58,56 - 65,Non,13,,,-2.112606707,-1.198887538,-108.4514276,0.226078799,-3.194029851,-2.166311301,-9.853126316,-25.81668026,-9.754609023,-8.56823988,-2.130997054,-26.4020904
DEINOVE,0,,2,A,5,0,0,0,38,21,24,Non,H,71,66 - 75,Non,9,,,4.692393293,-0.138887538,-108.5554276,0.226078799,-3.194029851,-2.166311301,-54.98712632,-281.7056803,-51.46360902,-44.20723988,-2.130997054,
DELACHAUX SA,0,,0,D,2,0,0,0,45,20,29,Non,H,55,46 - 55,Non,9,,,,,,,,,,,,,,
DELFINGEN INDUSTRY,0,,51,D,16,2,2,2,34,21,18,Non,H,67,66 - 75,Oui,17,-19.37398423,,-1.981606707,-1.127887538,-84.75842759,2.226078799,-3.194029851,-2.166311301,19.16487368,24.54031974,8.678390977,16.92576012,-2.130997054,1.425909605
DELMON INDUSTRIE SA,0,,26,D,6,2,2,2,8,4,6,Non,H,84,> 75,Oui,8,,,,,,-0.773921201,,,,,,,,
DELTA DRONE,0,,21,B+,7,1,1,1,18,15,14,Non,H,62,56 - 65,Oui,4,,,,,,2.226078799,-2.194029851,-1.166311301,-73.70112632,-112.8886803,-64.20060902,-81.40823988,-2.130997054,
DELTA PLUS GROUP,0,,76,D,20,4,4,2,21,15,9,Non,H,37,36 - 45,Non,33,-17.91698423,-5.035752252,-1.331606707,-0.566887538,-94.30642759,1.226078799,-0.194029851,-1.166311301,24.45587368,26.62031974,12.85339098,22.19676012,-2.130997054,6.492909605
DEMOS,0,,27,D,3,2,2,1,38,12,34,Non,H,53,46 - 55,Non,1,,,,,,1.226078799,-3.194029851,-4.166311301,-24.01912632,,-11.37960902,-24.07223988,-2.130997054,-12.2500904
DERICHEBOURG,0,,222,D,29,1,1,1,15,11,9,Non,H,67,66 - 75,Non,43,7.701015766,,-1.873606707,-1.207887538,-106.7714276,0.226078799,-3.194029851,-2.166311301,15.11687368,13.73231974,3.922390977,14.06976012,-2.130997054,-3.500090395
DEVEAUX SA,0,,0,D,1,2,2,2,13,9,11,Non,F,50,46 - 55,Non,17,,,,,,1.226078799,3.805970149,5.833688699,,,,,,
DEVERNOIS SA,0,,8,D,1,3,3,1,27,14,18,Non,H,53,46 - 55,Non,3,,,-1.914606707,-0.695887538,-1.981427587,-0.773921201,-3.194029851,-4.166311301,2.166873684,0.102319737,-2.395609023,3.97076012,-2.130997054,-9.765090395
DEVOTEAM,0,,109,A+,56,4,4,0,38,28,15,Non,F,51,46 - 55,Non,7,-9.742984234,-6.234752252,-0.018606707,-0.432887538,-91.01242759,3.226078799,-0.194029851,-0.166311301,26.23687368,29.38031974,10.17139098,20.04276012,-2.130997054,2.347909605
DIAGNOSTIC MEDICAL SYSTEMS,0,,14,A+,13,0,0,0,20,13,11,Non,H,70,66 - 75,Oui,8,,,-2.130606707,-0.974887538,-107.0264276,0.226078799,1.805970149,-0.166311301,4.314873684,1.459319737,-0.915609023,6.51976012,5.217002946,-8.061090395
DIETSWELL,0,,5,B+,4,1,1,0,22,13,14,Non,H,68,66 - 75,Oui,6,,,-2.185606707,-1.002887538,-107.9894276,5.226078799,2.805970149,0.833688699,-72.31212632,-90.58668026,-53.27660902,-74.03623988,-2.130997054,-39.0420904
DIGIGRAM,0,,3,D,4,3,0,1,29,13,25,Oui,H,50,46 - 55,Non,5,,,-2.408606707,-1.308887538,-107.8704276,1.226078799,0.805970149,0.833688699,17.74087368,24.33231974,8.172390977,0.35576012,20.34700295,0.425909605
DIGITECH,0,,0,D,5,6,6,4,16,12,10,Non,H,64,56 - 65,Oui,6,-25.67898423,,-2.939606707,-1.411887538,-105.8824276,4.226078799,,,10.77587368,9.118319737,3.620390977,18.15276012,-2.130997054,-2.536090395
DIOSOS,0,,0,U,0,0,0,0,3,3,0,Non,H,94,> 75,Non,1,,,,,,,,,,,,,,
DIRECT ENERGIE,0,,1840,D,1,5,5,5,46,16,32,Non,H,62,56 - 65,Non,214,,,,,,0.226078799,-3.194029851,-2.166311301,29.65887368,49.21531974,9.340390977,37.25976012,-2.130997054,0.770909605
DISTRIBORG SA,0,,352,D,1,5,5,5,27,14,19,Non,H,52,46 - 55,Non,14,,,,,,-1.773921201,2.805970149,2.833688699,,,,,,
DL SOFTWARE S.A.,0,,15,D,1,6,1,1,9,3,6,Non,,53,46 - 55,Non,14,,,,,,2.226078799,-2.194029851,-0.166311301,46.77787368,56.27131974,28.52239098,41.67076012,-2.130997054,24.7269096
DLSI,0,,9,B+,7,2,2,2,18,15,8,Non,H,74,66 - 75,Oui,5,-21.88798423,-4.486752252,-1.798606707,-1.021887538,-94.65442759,-0.773921201,2.805970149,-1.166311301,33.65087368,31.69731974,12.03839098,27.34676012,-2.130997054,-0.085090395
DOCKS DE FRANCE SA,0,,0,U,0,0,0,0,2,2,0,Non,H,53,46 - 55,Non,1,,,,,,,,,,,,,,
DOLPHIN INTEGRATION,0,,42,C,3,0,0,0,42,27,20,Non,H,80,> 75,Non,2,,,-2.896606707,-1.451887538,-98.45342759,0.226078799,-3.194029851,-4.166311301,-8.227126316,-15.40768026,-7.808609023,2.84676012,-2.130997054,-24.6310904
DOMIA GROUP,0,,15,U,4,3,3,3,8,4,6,Non,H,57,56 - 65,Oui,16,,,,,,-0.773921201,0.805970149,-0.166311301,,,,,,
DON'T NOD ENTERTAINMENT,0,,2,D,14,1,1,1,14,12,3,Non,H,50,46 - 55,Non,3,,,,,,4.226078799,-3.194029851,-4.166311301,22.95787368,-41.29968026,-4.727609023,45.67676012,-2.130997054,-13.2420904
DRONE VOLT,0,,6,A+,17,1,1,0,14,9,6,Non,H,54,46 - 55,Non,2,,,3.547393293,1.418112462,-108.6724276,3.226078799,0.805970149,0.833688699,-45.79412632,-85.85768026,-39.22860902,-29.78623988,-2.130997054,-37.7490904
DU PAREIL AU MEME,0,,29,D,2,0,0,0,26,10,17,Non,H,70,66 - 75,Non,26,,,,,,,,,,,,,,
DUC,0,,220,D,1,0,0,0,40,10,35,Non,H,58,56 - 65,Non,25,,,,,,4.226078799,,,,,,,,
DUCOS SARRAT S.A.,0,,4,D,1,3,2,2,2,1,2,Oui,H,70,66 - 75,Non,6,,,,,,,,,,,,,,
DUCROS SERVICES RAPIDES SA,0,,1091,D,2,0,0,0,13,8,7,Non,H,49,46 - 55,Non,2,,,,,,-0.773921201,-3.194029851,-1.166311301,,,,,,
DYNAFOND,0,,0,D,2,3,3,3,11,9,7,Non,H,56,56 - 65,Non,2,-1.894984234,,-1.377606707,-0.356887538,-106.8954276,-1.773921201,-1.194029851,4.833688699,11.10487368,9.979319737,4.303390977,12.40576012,-2.130997054,-3.801090395
E A V S GROUPE EQUIPEMENTS AUDIOVISUELS ET SYSTEMES,0,,5,D,2,2,2,2,8,7,4,Non,H,52,46 - 55,Oui,3,,,,,,1.226078799,-1.194029851,-1.166311301,8.178873684,7.345319737,2.108390977,9.47976012,-2.130997054,-4.638090395
EASY THERM S.A.,0,,2,A-,2,2,2,0,15,4,13,Non,H,45,36 - 45,Non,1,,,,,,1.226078799,3.805970149,5.833688699,,,,,,
EASYVISTA,0,,9,A+,20,1,1,0,18,17,5,Non,H,63,56 - 65,Oui,10,,,-9.326606707,0.731112462,-112.7974276,2.226078799,-3.194029851,-4.166311301,-39.16012632,,-6.741609023,-93.07223988,-2.130997054,-10.6940904
ECA,0,,79,D,17,2,2,2,23,14,15,Oui,H,49,46 - 55,Oui,12,-11.32798423,,-0.641606707,-0.606887538,-100.0704276,-0.773921201,1.805970149,-1.166311301,21.30687368,22.24731974,7.905390977,20.39576012,-2.130997054,5.643909605
ECHIQUIER AGENOR SRI MID CAP EUROPE,0,,0,U,2,0,0,0,5,3,2,Non,H,53,46 - 55,Non,5,,,,,,,,,,,,,,
ECOFI ACTIONS SCR,0,,0,U,2,0,0,0,1,1,0,Non,H,53,46 - 55,Non,2,,,,,,,,,,,,,,
ECOFI CONVERTIBLES EURO,0,,0,U,2,0,0,0,2,1,1,Non,H,53,46 - 55,Non,4,,,,,,,,,,,,,,
ECOFI ENJEUX FUTURS,0,,0,U,2,0,0,0,3,1,2,Non,H,61,56 - 65,Non,8,,,,,,,,,,,,,,
ECOFI ENTREPRISES,0,,0,U,2,0,0,0,1,1,0,Non,H,53,46 - 55,Non,4,,,,,,,,,,,,,,
ECOSLOPS SA,0,,6,A+,18,1,1,0,20,14,14,Non,H,52,46 - 55,Oui,4,,,-0.587606707,-0.397887538,-105.0304276,3.226078799,-0.194029851,0.833688699,-9.151126316,-29.22668026,-14.34160902,-4.03723988,-2.130997054,-98.6740904
EDAP TMS,0,,8,A+,34,0,0,0,13,11,8,Non,H,85,> 75,Non,3,-2.161984234,,0.412393293,0.314112462,-107.9894643,-0.773921201,2.805970149,1.833688699,21.53287368,24.28531974,11.25339098,20.92776012,8.731002946,7.750909605
EDENRED,0,,216,A+,85,0,0,0,45,29,23,Oui,H,49,46 - 55,Non,12,-4.653984234,-2.780752252,-7.034606707,-0.822887538,-113.8084276,0.226078799,,,95.71487368,,6.935390977,69.54576012,-2.130997054,21.0159096
EDF ENERGIES NOUVELLES,0,,1378,D,2,0,0,0,45,24,32,Oui,H,47,46 - 55,Non,8,,,,,,-1.773921201,-0.194029851,1.833688699,,,,,,
EDITIONS DU SIGNE,0,,2,D,1,1,1,1,8,5,4,Non,H,68,66 - 75,Non,4,-22.32398423,,-2.868606707,-1.327887538,-106.7354276,0.226078799,-1.194029851,3.833688699,11.56987368,10.87731974,5.240390977,12.87076012,-2.130997054,-3.000090395
EDITIONS GRANADA,0,,2,B+,6,3,3,1,6,2,6,Non,F,52,46 - 55,Oui,3,,,,,,0.226078799,3.805970149,5.833688699,,24.50331974,13.83339098,,-2.130997054,16.6189096
EDMOND DE ROTHSCHILD SA,0,,249,D,1,1,1,1,39,19,24,Oui,H,57,56 - 65,Oui,20,,,,,,-1.773921201,,,,9.982319737,2.357390977,,,1.441909605
EDUNIVERSAL,0,,5,D,2,0,0,0,12,6,11,Non,H,51,46 - 55,Non,4,,,,,,5.226078799,-1.194029851,-3.166311301,-56.00212632,-467.9386803,-35.52460902,-54.19023988,-2.130997054,
EFESO CONSULTING SA,0,,1273,D,1,3,0,0,20,6,15,Non,,53,46 - 55,Non,1,,,,,,-0.773921201,,,,,,,,
EFRONT SA,0,,1068,D,1,0,0,0,28,16,16,Non,H,59,56 - 65,Non,9,,,,,,3.226078799,,,,,,,,
EGIDE,0,,7,U,9,4,4,0,25,13,17,Non,H,61,56 - 65,Oui,5,-27.14398423,,,-0.828887538,-108.8404276,0.226078799,0.805970149,0.833688699,,,,,-2.130997054,95.2719096
EIFFAGE,0,,781,A+,78,0,0,0,39,21,24,Oui,H,54,46 - 55,Non,18,-14.54598423,,-1.719606707,-1.384887538,-65.35642759,-0.773921201,-3.194029851,-2.166311301,15.66987368,28.24431974,4.915390977,14.45376012,-2.130997054,1.832909605
EKINOPS,0,,14,A+,30,1,1,0,33,18,19,Non,H,57,56 - 65,Oui,7,,,0.666393293,0.946112462,-106.6924276,0.226078799,2.805970149,3.833688699,-8.166126316,-11.53668026,-9.796609023,-7.24523988,18.58300295,-18.6710904
ELECTRICITE DE FRANCE,0,,1378,D,30,0,0,0,115,77,67,Oui,H,65,56 - 65,Non,49,-19.89298423,,-2.749606707,-1.532887538,-89.22942759,-1.773921201,-3.194029851,-2.166311301,,,,10.79976012,,
ELECTRICITE DE STRASBOURG,0,,1378,D,8,0,0,0,56,29,47,Oui,H,51,46 - 55,Non,26,-18.46398423,-1.266752252,-0.985606707,-1.149887538,-62.49142759,-2.773921201,-3.194029851,-2.166311301,16.18087368,40.06431974,8.560390977,14.45576012,-2.130997054,7.617909605
ELECTRICITE ET EAUX DE MADAGASCAR,0,,11,B+,16,6,6,1,27,16,25,Non,H,48,46 - 55,Oui,6,,,-2.346606707,-1.148887538,-104.8264276,-0.773921201,1.805970149,1.833688699,4.739873684,0.454319737,-1.158609023,5.49776012,-2.130997054,-12.1980904
ELF AQUITAINE SA,0,,1840,D,1,5,5,5,18,4,16,Oui,H,54,46 - 55,Non,216,,,,,,-1.773921201,3.805970149,5.833688699,,,,,,
ELIOR GROUP,0,,256,A+,73,1,1,0,55,27,35,Non,H,66,66 - 75,Non,54,-3.890984234,-5.314752252,-0.984606707,-0.916887538,-99.81942759,2.226078799,-3.194029851,-4.166311301,15.20287368,20.12731974,5.981390977,14.23476012,-2.130997054,-1.025090395
ELIOR PARTICIPATIONS,0,,256,D,1,1,0,0,40,27,18,Oui,H,55,46 - 55,Non,74,,,,,,-1.773921201,-3.194029851,-4.166311301,,,,,,
ELIS,0,,167,A+,75,0,0,0,29,21,13,Oui,H,48,46 - 55,Non,33,-8.340984234,,-1.564606707,-1.082887538,-98.74642759,-0.773921201,-3.194029851,-4.166311301,14.14487368,17.49331974,5.254390977,14.05576012,-2.130997054,3.926909605
ELIT GROUP,0,,157,D,1,0,0,0,18,8,11,Non,H,52,46 - 55,Non,6,,,,,,-2.773921201,,,,,,,,
ELIXENS,0,,14,D,4,4,4,4,12,3,12,Non,F,55,46 - 55,Oui,5,,,,,,1.226078799,3.805970149,2.833688699,,,,,,
ELSALYS BIOTECH,0,,12,D,1,3,3,1,19,6,14,Non,H,56,56 - 65,Non,2,,,,,,4.226078799,-3.194029851,-4.166311301,,,-54.44160902,,,
EMAILVISION SA,0,,7,U,1,0,0,0,27,4,26,Non,,53,46 - 55,Non,1,,,,,,5.226078799,-3.194029851,-4.166311301,,,,,,
EMOVA GROUP,0,,26,D,5,3,3,2,22,11,17,Non,H,45,36 - 45,Non,7,32.51501577,,-1.807606707,-0.830887538,-103.1304276,,-3.194029851,-4.166311301,8.716873684,3.033319737,0.056390977,14.11876012,-2.130997054,-10.5350904
ENCRES DUBUIT,0,,11,C+,8,1,1,1,31,17,23,Non,F,48,46 - 55,Non,4,-21.08698423,,-2.665606707,-1.149887538,-102.2534276,0.226078799,3.805970149,4.833688699,15.13487368,14.11031974,8.009390977,14.89276012,-2.130997054,3.051909605
ENENSYS TECHNOLOGIES,0,,5,C+,8,4,4,1,12,9,4,Non,H,49,46 - 55,Oui,9,,,,,,,,,26.67487368,29.07431974,16.60639098,24.73376012,27.62300295,11.2099096
ENERGIE EUROPE SERVICE,0,,0,A+,5,3,3,0,8,7,5,Non,H,41,36 - 45,Non,6,,,,,,2.226078799,-3.194029851,-4.166311301,,,,,,
ENERTIME,0,,0,A+,7,5,0,0,23,14,13,Oui,H,62,56 - 65,Oui,1,,,11.39539329,1.644112462,-108.3074276,3.226078799,-1.194029851,-1.166311301,-148.5301263,-278.3216803,-61.41760902,-128.8582399,-2.130997054,-68.0630904
ENGIE,0,,3371,B+,60,0,0,0,105,38,77,Oui,H,62,56 - 65,Non,489,,,-2.594606707,-1.418887538,-90.17842759,-0.773921201,-3.194029851,-2.166311301,10.09387368,7.877319737,2.222390977,10.18776012,-2.130997054,-3.548090395
ENGIE EPS,0,,3371,D,19,0,0,0,27,18,17,Oui,H,52,46 - 55,Non,1,,,5.546393293,0.967112462,-108.1464276,-1.773921201,-3.194029851,-4.166311301,-68.55612632,-149.5756803,-43.84660902,-67.62223988,-1.200997054,
ENI GAS & POWER FRANCE,0,,482,D,2,0,0,0,52,21,32,Non,H,58,56 - 65,Non,1,,,,,,1.226078799,3.805970149,-3.166311301,,,,,,
ENTREPARTICULIERS COM,0,,2,C+,5,2,2,1,6,6,4,Non,H,56,56 - 65,Oui,8,,,-0.342606707,-0.607887538,-108.5854276,5.226078799,3.805970149,0.833688699,-105.6351263,-151.2536803,-52.33560902,-104.6592399,-2.130997054,-52.1420904
ENTREPOSE CONTRACTING SA,0,,3887,D,2,0,0,0,46,8,41,Non,H,50,46 - 55,Non,9,,,,,,-0.773921201,-3.194029851,-1.166311301,,,,,,
ENTREPRENDRE,0,,3,D,3,2,2,2,10,9,3,Non,H,63,56 - 65,Oui,7,,,1.453393293,0.234112462,-101.9244276,2.226078799,2.805970149,-0.166311301,25.40087368,15.58031974,5.422390977,21.71076012,-2.130997054,-2.168090395
ENTREPRISE GENERALE LEON GROSSE SA,0,,0,B+,3,1,1,0,46,16,33,Non,H,53,46 - 55,Non,4,,,,,,-1.773921201,-1.194029851,-0.166311301,8.458873684,11.35031974,2.796390977,9.75976012,,-3.817090395
ENVEA,0,,11,A+,47,22,22,21,28,20,13,Non,H,73,66 - 75,Oui,7,-17.09898423,,-1.413606707,-0.472887538,-75.64442759,-0.773921201,2.805970149,0.833688699,21.46287368,22.77131974,12.02139098,20.98976012,-2.130997054,6.759909605
EO2,0,,7,B+,8,2,2,1,20,6,16,Non,H,51,46 - 55,Oui,4,-17.57798423,-1.465752252,-2.688606707,-1.325887538,-103.7914276,5.226078799,1.805970149,1.833688699,8.393873684,5.227319737,1.271390977,13.39676012,-2.130997054,-5.195090395
EOLE RENDEMENT,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
EON MOTORS GROUP S.A.C.A.,0,,3,D,2,0,0,0,6,3,4,Non,H,57,56 - 65,Non,2,,,,,,0.226078799,2.805970149,5.833688699,6.738873684,0.510319737,-2.594609023,8.03976012,,
EOS IMAGING,0,,6,A+,40,2,0,0,40,18,33,Oui,H,71,66 - 75,Oui,9,,,0.490393293,-0.158887538,-107.7154276,1.226078799,-1.194029851,-1.166311301,-4.471126316,-20.99768026,-8.784609023,-3.17023988,0.189002946,-23.3760904
EPARGNE ETHIQUE FLEXIBLE,0,,0,U,2,0,0,0,19,10,11,Oui,H,60,56 - 65,Non,8,,,,,,,,,,,,,,
ERAMET,0,,117,B+,40,7,7,5,70,40,46,Oui,F,56,56 - 65,Non,21,,,-2.402606707,-1.348887538,-41.38342759,1.226078799,-2.194029851,-1.166311301,5.545873684,-3.437680263,-1.193609023,6.67576012,-0.956997054,-10.6310904
ERIDANIA BEGHIN-SAY SA,0,,0,U,0,0,0,0,3,3,0,Oui,H,71,66 - 75,Non,8,,,,,,,,,,,,,,
ERYTECH PHARMA,0,,2,B+,26,15,15,1,23,15,17,Oui,H,59,56 - 65,Oui,1,,,0.123393293,1.063112462,-104.7594276,3.226078799,3.805970149,5.833688699,-49.42012632,-55.34668026,-46.99160902,-48.14823988,-2.130997054,
ESI GROUP,0,,44,A+,31,2,2,0,39,29,17,Non,H,76,> 75,Oui,11,-0.475984234,,-0.469606707,-0.392887538,-92.13442759,2.226078799,-3.194029851,-4.166311301,16.22587368,17.86531974,6.851390977,14.71276012,-1.073997054,3.592909605
ESR,0,,127,C,2,4,2,4,14,6,10,Oui,,53,46 - 55,Non,2,,,,,,-0.773921201,-3.194029851,-4.166311301,,,,,,
ESSO SOCIETE ANONYME FRANCAISE,0,,883,D,10,0,0,0,24,18,12,Non,H,61,56 - 65,Non,6,-25.79598423,,-2.696606707,-1.451887538,-33.66142759,-1.773921201,-0.194029851,-1.166311301,24.93187368,46.94231974,13.09739098,21.00276012,-2.130997054,-1.198090395
EST REPUBLICAIN SA,0,,548,D,3,0,0,0,28,11,18,Non,H,60,56 - 65,Non,22,,,,,,1.226078799,-1.194029851,-4.166311301,-22.77012632,,-48.35460902,-21.46923988,,-15.2060904
ETABLISSEMENTS FAUVET-GIREL,0,,0,D,2,1,1,1,8,5,4,Non,H,64,56 - 65,Non,4,,,-2.006606707,-0.396887538,-81.90742759,-0.773921201,2.805970149,5.833688699,,-1.276680263,-5.498609023,,-2.130997054,-93.0470904
ETABLISSEMENTS GUY JOUBERT,0,,5,B+,5,4,4,1,14,8,6,Non,H,83,> 75,Oui,2,,,,,,,,,,,,,,
ETABLISSEMENTS MAUREL ET PROM,0,,31,D,20,0,0,0,38,21,26,Non,H,65,56 - 65,Non,1,,,-2.475606707,-1.260887538,-103.3434276,2.226078799,-1.194029851,-0.166311301,8.420873684,4.851319737,1.151390977,8.00276012,-2.130997054,-8.898090395
ETABLISSEMENTS NICOLAS,0,,80,D,1,1,1,1,31,14,19,Non,H,59,56 - 65,Non,12,,,,,,-1.773921201,3.805970149,-0.166311301,27.13487368,26.99831974,10.51639098,19.05576012,,0.801909605
ETAM DEVELOPPEMENT,0,,46,B+,13,3,3,2,26,22,8,Non,F,69,66 - 75,Non,2,,,,,,-0.773921201,-2.194029851,-2.166311301,13.47387368,14.54631974,4.737390977,13.32976012,-2.130997054,-2.259090395
ETUDES REALISATIONS DE MOULES ET OUTILS SA,0,,2,D,1,0,0,0,18,7,14,Non,H,56,56 - 65,Non,2,,,,,,-0.773921201,2.805970149,0.833688699,,,,,,
EULER HERMES GROUP,0,,1787,D,4,0,0,0,39,17,28,Oui,H,62,56 - 65,Non,14,,,,,,-1.773921201,,,,20.69631974,7.594390977,,,12.6589096
EURASIA FONCIERE INVESTISSEMENTS,0,,40,D,4,4,2,3,13,10,4,Oui,H,55,46 - 55,Non,27,-11.75798423,,-2.422606707,-1.384887538,-108.6094276,2.226078799,-2.194029851,-1.166311301,20.79287368,37.37231974,10.09739098,19.03076012,-2.130997054,70.4329096
EURASIA GROUPE SA,0,,40,B+,4,3,3,2,7,5,5,Non,H,55,46 - 55,Non,4,-23.66198423,,-2.719606707,-1.397887538,-94.61442759,3.226078799,-0.194029851,-0.166311301,13.70787368,18.02431974,6.418390977,13.21676012,-2.130997054,24.1759096
EURAZEO,0,,1273,A+,59,3,3,0,67,55,34,Oui,H,51,46 - 55,Non,80,-20.62498423,-5.314752252,-2.503606707,-1.231887538,-40.71042759,-2.773921201,-1.194029851,-3.166311301,16.58087368,19.11231974,8.273390977,16.07976012,-2.130997054,17.6939096
EURAZEO PME CAPITAL,0,,1273,D,1,3,0,0,23,12,14,Oui,H,56,56 - 65,Non,40,,,,,,-2.773921201,-3.194029851,-4.166311301,,,,,,
EURO RESSOURCES,0,,29,D,3,13,0,0,23,16,16,Oui,H,76,> 75,Non,14,-14.36698423,,3.418393293,4.528112462,-108.2974276,-1.773921201,3.805970149,3.833688699,,80.11431974,69.84239098,,-2.130997054,91.5219096
EUROBIO SCIENTIFIC,0,,15,A+,10,2,2,0,25,10,21,Non,H,59,56 - 65,Oui,6,,,-1.192606707,-0.818887538,-105.8184276,4.226078799,-3.194029851,-2.166311301,-39.70612632,-58.90068026,-23.19460902,-37.05423988,8.986002946,-32.6640904
EURODIRECT MARKETING,0,,7,D,1,1,1,1,7,5,4,Non,H,74,66 - 75,Non,16,,,,,,,,,,,,,,
EUROFINS-CEREP,0,,859,D,2,2,2,2,41,29,15,Oui,H,56,56 - 65,Oui,120,-17.66098423,,-1.783606707,-0.622887538,3351.199572,-0.773921201,2.805970149,2.833688699,18.36887368,18.87431974,10.30339098,20.94076012,-2.130997054,4.633909605
