nom_entreprise,attaque,Taille.de.la.Composition.du.Groupe,Indic..d.indép..BvD,Nombre.d.actionnaires,Nombre.de.bénéficiaires.effectifs..déf.10..10..,Nombre.de.bénéficiaires.effectifs..déf.10..50..,Nombre.de.bénéficiaires.effectifs..déf.25..25..,Nombre.de.dirigeants,Nombre.de.dirigeants.actuels,Nombre.de.dirigeants.précédents,DM..As.any.category,Dirigeant..Sexe,Dirigeant..Age,Dirigeant..Tranche.d.âge,Dirigeant..Aussi.actionnaire,Dirigeant..Nombre.d.entreprises.dans.lesquelles.une.fonction.est.exercée,diffmoy_Cours...bénéfice.par.action...moyenne,diffmoy_Capitalisation...Capitaux.propres,diffmoy_Capitalisation...Total.du.bilan..Tobin.s.Q,diffmoy_Capitaux.propres.par.action..EUR,diffmoy_Probabilité.de.faillite,diffmoy_Coefficient.d.endettement,diffmoy_Solvabilité,diffmoy_Rend..du.capital.investi,diffmoy_Rend..des.capitaux.propres.nets,diffmoy_ROA.à.partir.du.résultat.av..impôts,diffmoy_ROCE.à.partir.du.revenu.net1,diffmoy_Dépenses.de.R.D...Produit.d.exploitation,diffmoy_Performance
CAPGEMINI,0,398,A+,115,0,0,0,72,49,52,Oui,H,68,66 - 75,Non,130,-13.13498423,-1.355606707,-0.769887538,-66.37842759,-2.773921201,-3.194029851,-4.166311301,16.65587368,19.86431974,7.803390977,17.30776012,-2.130997054,3.255909605
CATERING INTERNATIONAL & SERVICES,0,38,D,19,4,4,2,36,22,17,Non,H,82,> 75,Oui,9,22.38501577,-1.192606707,-0.645887538,-100.6004276,4.226078799,1.805970149,1.833688699,22.62687368,21.30031974,8.821390977,13.40776012,-2.130997054,-0.702090395
CEGEREAL SA,0,6,C+,15,14,14,14,27,13,19,Non,H,60,56 - 65,Non,9,-16.17098423,-2.378606707,-1.182887538,-65.23942759,-1.773921201,-0.194029851,1.833688699,12.43187368,13.32531974,5.234390977,13.66376012,-2.130997054,64.0129096
CHARGEURS,0,85,B+,41,0,0,0,31,20,16,Oui,H,38,36 - 45,Non,34,-16.95998423,-1.630606707,-0.984887538,-98.94342759,4.226078799,-0.194029851,-1.166311301,16.76387368,19.26431974,6.772390977,16.77676012,-1.399997054,1.175909605
CHRISTIAN DIOR,0,1559,D,8,2,2,1,17,12,11,Oui,H,71,66 - 75,Non,254,0.768015766,-2.047606707,-1.049887538,57.82257241,-1.773921201,-3.194029851,-3.166311301,22.72487368,31.77831974,13.63539098,13.05776012,-1.846997054,13.2369096
CIE INDUSTRIELLE FINANCIERE ENTREPRISE,0,59,D,6,8,8,2,22,18,10,Non,H,60,56 - 65,Non,8,-13.30098423,-2.390606707,-1.164887538,-25.46042759,0.226078799,3.805970149,5.833688699,13.77087368,13.38131974,5.465390977,13.13676012,-2.130997054,0.023909605
CLASQUIN,0,37,D,13,1,1,1,37,35,16,Non,H,72,66 - 75,Oui,15,3.150015766,-0.488606707,-1.051887538,-98.53342759,-1.773921201,-3.194029851,-2.166311301,17.39487368,23.52131974,5.212390977,14.28776012,-1.650997054,-2.974090395
CNIM GROUPE,0,90,D,13,9,9,1,45,30,31,Non,H,46,46 - 55,Non,23,-21.88298423,-1.378606707,-1.113887538,-47.49042759,0.226078799,1.805970149,-2.166311301,28.87587368,36.94631974,9.825390977,27.39876012,1.569002946,4.232909605
COFIDUR SA,0,2,D,6,4,4,4,13,10,5,Non,H,71,66 - 75,Non,2,-20.09498423,-2.547606707,-1.306887538,449.0275724,-2.773921201,2.805970149,0.833688699,16.38787368,17.76631974,6.702390977,15.24376012,-2.130997054,-1.870090395
COMPAGNIE DE SAINT-GOBAIN,0,1186,A+,82,1,1,0,81,42,58,Non,H,62,56 - 65,Non,720,-11.77098423,-1.959606707,-1.043887538,-74.36442759,-1.773921201,-3.194029851,-2.166311301,15.71687368,15.34731974,5.755390977,15.55876012,-1.004997054,-0.205090395
COMPAGNIE DU MONT BLANC,0,87,B+,7,3,3,0,26,17,13,Oui,H,48,46 - 55,Non,7,-16.39298423,-2.096606707,-1.152887538,5.415572413,-2.773921201,-2.194029851,-0.166311301,16.34887368,22.70731974,8.261390977,13.63676012,-2.130997054,13.5299096
